This file was created using the 202511 CRSP database.
It contains value- and equal-weighted returns for  10 prior-return portfolios.
The portfolios are constructed monthly. PRIOR_RET is from -12 to - 2.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Value Weight Returns -- Monthly
,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
192701,  -3.32,  -4.54,   2.67,  -0.29,  -0.41,   0.93,   0.30,   0.71,  -0.14,  -0.24
192702,   7.39,   6.01,   7.03,   7.46,   4.34,   3.98,   2.99,   3.20,   4.14,   7.04
192703,  -3.23,  -3.05,  -3.84,  -4.80,  -0.46,  -2.35,   1.96,   0.49,   0.35,   6.13
192704,   1.28,  -3.01,  -2.44,   0.43,   1.19,  -0.16,   2.03,  -0.74,   1.81,   5.49
192705,   2.71,   4.54,   5.97,   3.14,   6.14,   5.93,   5.22,   6.32,   8.19,   5.92
192706,  -6.13,  -3.21,  -3.70,  -2.43,  -2.14,  -1.87,  -1.98,  -1.60,  -2.38,  -1.70
192707,   4.11,   5.06,   4.20,   4.81,   8.33,   7.02,   8.56,   7.04,   6.33,  13.33
192708,  -0.54,   0.65,   1.57,   1.64,   3.07,   1.29,   2.36,   2.67,   0.38,   5.48
192709,  -0.39,   3.63,   2.92,   4.71,   4.17,   5.08,   4.72,   4.37,   5.58,   7.29
192710,  -6.06,  -3.37,  -1.76,  -3.08,  -3.31,  -3.57,  -3.01,  -5.54,  -5.27,  -6.04
192711,  13.64,   5.80,   5.11,   6.09,   6.76,   4.65,   7.24,   8.00,  10.36,   6.21
192712,   4.65,   0.46,   0.54,   3.91,   2.01,   1.16,   1.59,   1.13,   5.09,   5.00
192801,  -0.40,  -1.16,  -1.43,  -0.92,   0.19,   0.13,  -0.23,   0.75,  -1.47,  -0.87
192802,  -1.33,  -1.34,  -1.28,  -1.57,  -1.36,  -0.31,  -1.38,  -2.92,  -2.74,   0.17
192803,   7.02,   7.21,   6.41,   4.19,   4.94,   5.51,   6.58,   7.02,  20.65,  12.75
192804,   7.50,   7.84,  13.11,   6.29,   4.67,   4.21,   1.12,   3.01,   1.40,   2.92
192805,   3.85,   1.97,  -2.66,  -0.95,   1.66,   0.41,   3.02,   0.55,   2.98,   5.21
192806,  -8.11,  -8.48,  -4.10,  -4.00,  -3.97,  -3.41,  -5.56,  -5.27,  -4.29,  -3.57
192807,  -1.29,   0.47,  -0.50,   0.14,   1.29,   1.00,   0.32,  -0.08,   2.27,   2.19
192808,   7.14,   3.54,   3.91,   4.58,   6.36,   6.61,   6.64,  10.94,  10.84,   9.13
